SampleName,SampleID,StationDeposit,Latitude,Longitude,Northing,Easting,Accuracy,m_asl,Temperature,Conductivity,PreferredPH,PreferredEh
MXSCSJT0001,sjt-W-0001-30/05/2019,KARINGAL,-33.4320775544653,146.164999708055,6300499.60142585,422379.078386222,4,168,19.9,4140,6.79,292
MXSCSJT0002,sjt-W-0002-30/05/2019,KARINGAL,-33.3397339414986,146.193287401751,6310758.62043255,424929.419639446,6,211,16.42,2750,6.87,263.7
MXSCSJT0003,sjt-W-0003-30/05/2019,KARINGAL,-33.3133041920475,146.344992224052,6313787.83436606,439028.5452603,6,169,21,1271,7.15,310
MXSCSJT0004,sjt-W-0004-30/05/2019,KARINGAL,-33.3404593926674,146.332950474271,6310770.06349931,437926.87620672,4,NA,20.9,2138,7.01,332
MXSCSJT0005,sjt-W-0005-30/05/2019,MOUNTAIN CREEK,-33.3806845712233,145.902670309371,6305971.23048057,397932.026366229,4,143,20.12,724,6.49,229.5
MXSCSJT0006,sjt-W-0006-30/05/2019,BALLYROGAN,-33.4262753532694,145.924978478413,6300937.99704207,400059.335822693,6,143,22.37,2700,6.55,313.4
MXSCSJT0007,sjt-W-0007-31/05/2019,NA,-33.3188569493857,146.303823027952,6300783.6304987,993952.725441904,6,173,17.5,670,7.59,339.6
MXCSSJT008,sjt-W-0008-31/05/2019,NA,-33.1886229676981,146.18433969986,6327505.71094299,423965.919513069,12,193,21.8,832,7.09,319
MXSCSJT0009,sjt-W-0009-31/05/2019,NA,NA,NA,NA,NA,NA,155,19.32,3214,7.62,-175.9
MXSCSJT0010,sjt-W-0010-31/05/2019,NA,-33.2698065416062,145.886555720666,6318248.8366559,396301.787569912,6,136,21.51,4018,6.59,-199.6
MXSCSJT0011,sjt-W-0011-31/05/2019,NA,-33.5048116465267,145.86407004739,6292169.93394826,394491.836666282,8,224,19.5,3379,8.38,30.9
MXSCSJT0012,sjt-W-0012-01/06/2019,NA,-33.4877475340429,146.250692576068,6294388.04038477,430389.712933365,6,NA,20.4,2960,9.75,38
MXSCSJT0013,sjt-W-0013-01/06/2019,KOR-ABBA,-33.4227600076428,146.235843663632,6301583.2918081,428957.244093061,8,191,20.7,1580,6.96,-77
MXSCSJT0014.01A,sjt-W-0014-01/06/2019,KOR-ABBA,-33.4492688906953,146.288600147305,6298679.00846426,433882.167238466,6,237,22.7,5250,6.6,136
MXSCSJT0014.01B,sjt-W-0014-01/06/2019,KOR-ABBA,-33.4492688906953,146.288600147305,6298679.00846426,433882.167238466,6,237,22.7,5250,6.6,136
MXSCSJT0015,sjt-W-0015-01/06/2019,AVENALL,-33.5642758981353,145.886014866013,6285598.75961576,396601.058112947,4,219,21.01,6656,7.13,-133.2
MXSCSJT0016.01A,sjt-W-0016-01/06/2019,YARRAWA,-33.4420847123584,145.857372025261,6299118.0940673,393793.163671248,4,181,20.7,4180,10.31,-1.8
MXSCSJT0016.01B,sjt-W-0016-01/06/2019,YARRAWA,-33.4420847123584,145.857372025261,6299118.0940673,393793.163671248,4,181,20.7,4180,10.31,-1.8
MXSCSJT0017,sjt-W-0017-02/06/2019,EUABALONG,-33.1669518696967,146.463327251944,6330076.29611388,449960.604394745,6,163,21.5,NA,7.06,-104.4
MXSCSJT0018,sjt-W-0018-02/06/2019,"ROADSIDE, MOUNT HOPE - EUBALONG ROAD",-33.0169788421139,146.301721426631,6346614.22341539,434781.560703048,6,168,NA,NA,NA,NA
MXSCSJT0019,sjt-W-0019-03/06/2019,GLENWOOD,-32.2142500520506,146.162808891786,6435508.62435991,421106.038698397,4,280,20.32,29120,6.99,-271.7
MXSCSJT0020,sjt-W-0020-03/06/2019,NYMAGEE TOWN BORE,-32.0656359257589,146.320815231978,6452087.29599662,435892.451253244,6,311,20.36,6828,6.81,-11.4
MXSCSJT0021,sjt-W-0021-03/06/2019,HERA  MINE SITE BORE NO.24,-32.1269638071951,146.325023539237,6445291.74487615,436332.231672859,6,314,22.26,6432,6.88,-14.6
MXSCSJT0022,sjt-W-0022-03/06/2019,HERA  MINE SITE BORE NO.25,-32.1267338213416,146.33445447382,6445322.77287891,437221.673305403,6,330,20.55,4683,6.71,39
NA,sjt-W-0023-04/06/2019,MANUKA STATION,-32.2177909220391,145.737440590476,6434724.46196825,381023.082951961,4,269,20.56,7000,7.1,137.16958
MXSCSJT0024,sjt-W-0024-04/06/2019,MANUKA STATION,-32.2302235546842,145.752847934049,6433363.16476104,382491.089471005,6,265,20.3,116600,6.78,-45.3
MXSCSJT0025,sjt-W-0025-04/06/2019,MANUKA STATION,-32.2529407293985,145.753954399274,6430845.99259209,382624.573015895,4,240,21.31,16530,6.64,-33.2
NA,sjt-W-0026-04/06/2019,MANUKA STATION,-32.2670100828652,145.758598398009,6429291.35678538,383080.100219106,6,233,24.38,17060,6.98,-24
MXSCSJT0028,sjt-W-0028-04/06/2019,MIRABOOKA,-32.3272651512387,145.86345506168,6422721.08640498,393027.29108754,4,264,20.09,10920,6.66,59.3
MXSCSJT0027,"sjt-W-0029,supposed to be 0027-04/06/2019",MIRABOOKA,-32.3368121341933,145.837665807791,6421636.68065942,390611.324040465,4,242,19.5,33380,6.76,445.9
NA,sjt-CR-0002-05/06/2019,MIRRABOOKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MXSCSJT0030,sjt-W-0030-05/06/2019,KILLALA,-31.991682472262,145.973609693899,6460026.1057718,403040.906532322,6,252,20.45,1036,6.84,212.7
MXSCSJT0031,sjt-W-0031-05/06/2019,NYMAGEE STATION,-31.9617916025827,146.240580037878,6463547.64756978,428238.064477722,6,315,20.57,11630,6.68,72
MXSCSJT0032,sjt-W-0032-05/06/2019,HILLVIEW STATION (SHOULD BE HILLVIEW STATION),-32.1027340468492,146.341972345059,6428706.94762597,-128803.191276932,4,320,21.09,5622,7.08,-17.2
MXSCSJT0033,sjt-W-0033-05/06/2019,HILLVIEW STATION,-32.1027297826593,146.342017887425,6447987.94685168,437918.86956069,6,319,21.11,5666,7.14,-6.1
NA,sjt-W-0034-05/06/2019,HERA ROADSIDE HOLE,-32.0968348579828,146.309987312044,6448622.49165954,434892.515012105,4,308,20.74,6269,7.14,126.2
NA,sjt-W-0035-06/06/2019,HERA ROADSIDE HOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ksh-W-0001-06/06/2019,GOWRIE,-31.5173832492666,145.545833154377,6512140.61711411,361924.81534272,4,NA,9.5,73,7.56,73
NA,ksh-W-0002-06/06/2019,GOWRIE,-31.5174111543866,145.545850239893,6512137.54535209,361926.478844541,6,888558585885538.6,9.85,2418,7.35,94.3
MXSCMAE0001,mae-W-0001-31/05/2019,MERRYLANDS,-33.5135243387763,146.127540228086,6291440.71281693,418972.619138337,6,147,19.51,1068,8.45,141.3
MXSCMAE0002,mae-W-0002-31/05/2019,MERRILANDS,-33.5018055051237,146.116683338469,6292731.49983653,417953.224010893,4,149,21.2,4781,8.22,-79
MXSCMAE0003,mae-W-0003-31/05/2019,MERRILANDS (KYNMOOR PROPERTY),-33.5905199687255,146.121626433733,6282899.18346648,418495.7138551,6,194,20.1,1780,7.32,77
MXSCMAE0004,mae-W-0004-31/05/2019,KYNMOOR,-33.5459752988577,146.132666500683,6287846.71867457,419478.809944541,8,NA,20.3,4073,7.89,-145
MXSCMAE000,mae-W-0005-31/05/2019,KYNMOOR (MOUNT BOORBLAN),-33.498970337631,146.324974859744,6293191.07653783,437298.723089751,6,205,21,5800,7.72,-94
MXSCMAE0006,mae-W-0006-01/06/2019,CROWN LAND,-33.35816492603,146.45806223682,6308874.5947747,449579.668946402,4,166,NA,NA,NA,NA
NA,mae-W-0007-01/06/2019,CROWN LAND,-33.4425374146996,146.473236939167,6299527.53331638,451038.839434896,6,180,NA,NA,NA,NA
MXSCMAE0008,mae-W-0008-01/06/2019,HEATON PARK,-33.5672372440574,146.528848775171,6285726.79802445,456270.612543993,4,200,NA,NA,NA,NA
